id,classname,method_signature,suffix,num_file,num_line,num_function,num_class
./ProjectTest/Python/uno.py,uno,uno,,8,669,36,7
./ProjectTest/Python/tree.py,tree,tree,,2,225,16,1
./ProjectTest/Python/mahjong.py,mahjong,mahjong,,8,703,38,9
./ProjectTest/Python/thefuzz.py,thefuzz,thefuzz,,3,183,13,0
./ProjectTest/Python/nolimitholdem.py,nolimitholdem,nolimitholdem,,8,1562,75,17
./ProjectTest/Python/stock3.py,stock3,stock3,,4,286,33,11
./ProjectTest/Python/slugify.py,slugify,slugify,,3,246,3,0
./ProjectTest/Python/keras_preprocessing.py,keras_preprocessing,keras_preprocessing,,3,1002,28,5
./ProjectTest/Python/blackjack.py,blackjack,blackjack,,6,401,25,6
./ProjectTest/Python/fuzzywuzzy.py,fuzzywuzzy,fuzzywuzzy,,6,808,44,4
./ProjectTest/Python/gin_rummy.py,gin_rummy,gin_rummy,,14,1453,112,37
./ProjectTest/Python/stock2.py,stock2,stock2,,5,361,43,19
./ProjectTest/Python/stock.py,stock,stock,,3,217,22,13
./ProjectTest/Python/structly.py,structly,structly,,6,369,45,19
./ProjectTest/Python/leducholdem.py,leducholdem,leducholdem,,8,833,42,15
./ProjectTest/Python/bridge.py,bridge,bridge,,11,792,81,29
./ProjectTest/Python/stock4.py,stock4,stock4,,4,323,38,19
./ProjectTest/Python/doudizhu.py,doudizhu,doudizhu,,8,1178,54,8
./ProjectTest/Python/limitholdem.py,limitholdem,limitholdem,,8,1243,63,12
./ProjectTest/Python/svm.py,svm,svm,,4,238,21,5
